#Sector	Capacity
1	33
2	45
3	42
4	13
5	37
6	25
7	19
8	13
9	38
10	19
11	19
12	26
13	38
14	19
15	39
16	20
17	39
18	27
19	27
20	38
21	23
22	46
23	46
24	46
25	46
26	23
27	23
28	42
29	21
30	42
31	21
32	42
33	42
34	21
35	20
36	34
37	21
38	41
39	21
40	41
41	19
42	19
43	22
44	44
45	22
46	44
47	44
48	22
49	44
50	22
51	44
52	22
53	22
54	44
55	22
56	20
57	40
58	47
59	21
60	21
61	42
62	44
63	44
64	41
65	41
66	21
67	21
68	41
69	21
70	41
71	21
72	41
73	21
74	42
75	21
76	42
77	22
78	44
79	44
80	22
81	22
82	22
83	44
84	44
85	44
86	22
87	43
88	43
89	42
90	42
91	44
92	52
93	37
94	22
95	42
96	40
97	21
98	30
99	21
100	20
101	30
102	60
103	20
104	46
105	46
106	23
107	23
108	46
109	23
110	46
111	46
112	41
113	21
114	41
115	41
116	20
117	20
118	40
119	40
120	40
121	20
122	40
123	40
124	40
125	47
126	48
127	48
128	24
129	24
130	54
131	27
132	54
133	51
134	51
135	26
136	26
137	38
138	45
139	49
140	25
141	25
142	49
143	49
144	53
145	27
146	53
147	53
148	51
149	26
150	26
151	51
152	51
153	48
154	56
155	53
156	45
157	27
158	53
159	24
160	24
161	48
162	48
163	24
164	54
165	54
166	27
167	27
168	54
169	27
170	27
171	26
172	26
173	52
174	52
175	26
176	50
177	49
178	25
179	49
180	25
181	25
182	49
183	49
184	25
185	51
186	43
187	26
188	51
189	53
190	27
191	53
192	27
193	27
194	53
195	53
196	27
197	48
198	48
199	24
200	24
201	48
202	24
203	48
204	24
205	24
206	27
207	56
208	51
209	51
210	26
211	26
212	51
213	26
214	51
215	26
216	26
217	53
218	53
219	27
220	27
221	53
222	27
223	55
224	55
225	28
226	28
227	55
228	28
229	55
230	28
231	28
232	48
233	24
234	24
235	48
236	48
237	24
238	48
239	24
240	56
241	56
242	28
243	56
244	28
245	28
246	53
247	27
248	27
249	53
250	53
251	27
252	53
253	27
254	52
255	52
256	26
257	26
258	52
259	26
260	47
261	24
262	47
263	24
264	51
265	51
266	26
267	26
268	26
269	26
270	53
271	27
272	53
273	27
274	55
275	28
276	28
277	28
278	55
279	55
280	28
281	55
282	46
283	54
284	54
285	25
286	50
287	25
288	53
289	53
290	27
291	27
292	27
293	53
294	53
295	27
296	27
297	26
298	51
299	26
300	24
301	24
302	48
303	48
304	24
305	59
306	59
307	30
308	30
309	30
310	30
311	59
312	59
313	30
314	26
315	26
316	52
317	52
318	26
319	45
320	38
321	23
322	23
323	47
324	46
325	23
326	23
327	23
328	46
329	46
330	23
331	24
332	47
333	47
